metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
median_response_s,0.1,12,100,54.977322171279454,33.48860857737536,78.32180987796937,0.0001999600079984003,0.01279744051189762,0.4745678543471775,65.0,13.0
median_response_s,0.1,14,100,38.225863252484686,23.28098492089978,54.10082048516741,0.0001999600079984003,0.01279744051189762,0.4921306404781171,59.0,22.0
median_response_s,0.1,16,100,26.41069735774311,14.62876520790138,38.73033297257512,0.0001999600079984003,0.01279744051189762,0.42390543879088827,49.0,30.0
median_response_s,0.1,20,100,20.707956222949385,12.752936299069923,28.997369157833308,0.0001999600079984003,0.01279744051189762,0.49333255118134184,50.0,32.0
median_response_s,0.1,24,100,17.676078247602142,10.011558109870968,25.323343109995598,0.0001999600079984003,0.01279744051189762,0.44905165052472407,53.0,28.999999999999996
median_response_s,0.1,32,100,8.995972092536025,3.803528784817877,14.21037786047519,0.0005998800239952009,0.01279744051189762,0.3377775613182168,43.0,44.0
median_response_s,0.12,8,100,226.62072690748946,167.51295507723913,291.24796865193326,0.0001999600079984003,0.01279744051189762,0.7079437004714432,84.0,4.0
median_response_s,0.12,10,100,117.26284286493909,83.98496531217056,152.75217737133906,0.0001999600079984003,0.01279744051189762,0.6487961890083094,75.0,10.0
median_response_s,0.12,12,100,71.20051337102542,44.26857813022211,100.99183387358423,0.0001999600079984003,0.01279744051189762,0.48163574964801326,68.0,10.0
median_response_s,0.12,14,100,48.01688116036018,29.79044796869707,65.97556553302957,0.0001999600079984003,0.01279744051189762,0.5013033415951104,63.0,16.0
median_response_s,0.12,16,100,24.868795137308936,9.133715325587728,40.37356195261038,0.0021995600879824036,0.026994601079784044,0.3126582898159659,50.0,24.0
median_response_s,0.12,20,100,18.482374192336266,9.5557633250151,28.534107543699054,0.0001999600079984003,0.01279744051189762,0.38438018752483577,46.0,32.0
median_response_s,0.12,24,100,20.37791993384214,11.743285145055244,29.908947294129117,0.0001999600079984003,0.01279744051189762,0.43771029810782297,49.0,33.0
median_response_s,0.12,32,100,12.04880624213404,6.188146899596155,18.558723783031404,0.0001999600079984003,0.01279744051189762,0.38429123333547877,40.0,48.0
median_response_s,0.13,8,100,225.40853023713206,169.79911989130403,288.89148537106456,0.0001999600079984003,0.01279744051189762,0.7194426401789527,84.0,7.000000000000001
median_response_s,0.13,10,100,108.99702302004177,73.47368650501345,146.85890997236683,0.0001999600079984003,0.01279744051189762,0.5792398259861121,71.0,10.0
median_response_s,0.13,12,100,68.1023313819632,45.62250560015003,92.4389717159109,0.0001999600079984003,0.01279744051189762,0.5515916764100961,67.0,12.0
median_response_s,0.13,14,100,44.493127091286844,28.513821777903058,60.938259022371376,0.0001999600079984003,0.01279744051189762,0.5327618183834378,55.00000000000001,20.0
median_response_s,0.13,16,100,23.78506611009084,9.254733801349948,38.375298459709825,0.001999600079984003,0.026994601079784044,0.310764481375451,47.0,26.0
median_response_s,0.13,20,100,16.665182926359147,6.824196206490147,26.213543576358568,0.001999600079984003,0.026994601079784044,0.3337503698708871,46.0,35.0
median_response_s,0.13,24,100,20.38803350942086,10.532744534782148,30.3842160844378,0.0001999600079984003,0.01279744051189762,0.4068823193739366,45.0,39.0
median_response_s,0.13,32,100,10.004724344389324,4.452563301951092,15.656636569716026,0.0005998800239952009,0.01279744051189762,0.3498115528239458,40.0,50.0
median_response_s,0.14,8,100,226.15301135275524,163.4876039702868,296.793117811662,0.0001999600079984003,0.01279744051189762,0.6576600130277979,83.0,5.0
median_response_s,0.14,10,100,97.9792142398375,59.96699740266275,133.97479413118984,0.0001999600079984003,0.01279744051189762,0.5060120608750738,73.0,8.0
median_response_s,0.14,12,100,59.21073817668786,34.2956322654381,86.20798055529158,0.0001999600079984003,0.01279744051189762,0.44800132636245665,62.0,17.0
median_response_s,0.14,14,100,37.94532401028883,14.861716120830186,60.174098196907046,0.001799640071985603,0.026994601079784044,0.32377856691492335,56.00000000000001,16.0
median_response_s,0.14,16,100,27.292311258288102,9.417783149151763,44.20561021385235,0.0033993201359728054,0.027994401119776045,0.2962508511594099,46.0,25.0
median_response_s,0.14,20,100,25.17035516396563,13.87684470849377,37.28605613253429,0.0001999600079984003,0.01279744051189762,0.40498254685220453,43.0,34.0
median_response_s,0.14,24,100,18.79873000626534,9.276326175314347,28.558740568597877,0.0003999200159968006,0.01279744051189762,0.38394448834544703,45.0,38.0
