severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.2,32,0,6060,greedy,2218,10,10,8,2,80.0,257.31965169240135,204.09380644679385,506.93092961842024,2058.557213539211,5
0.2,32,0,6060,global_min_cost,2218,10,10,8,2,80.0,256.1991170490332,201.50025316938115,506.93092961842024,2049.5929363922655,5
0.1,8,1,6061,greedy,1135,10,10,8,2,80.0,766.3012586538989,615.0274899075589,1499.2498131666114,6130.410069231192,8
0.1,8,1,6061,global_min_cost,1135,10,10,8,2,80.0,431.9817818230022,382.52343618329303,680.513584383498,3455.8542545840173,7
0.1,10,1,6061,greedy,1135,10,10,10,0,100.0,750.9128542495777,846.1600971012756,1480.1418258802062,7509.128542495778,0
0.1,10,1,6061,global_min_cost,1135,10,10,10,0,100.0,573.5711170876386,474.1077250032405,997.0584512433485,5735.711170876386,0
0.1,12,1,6061,greedy,1135,10,10,10,0,100.0,699.3157633947413,687.4121701159642,1388.614351175637,6993.157633947414,0
0.1,12,1,6061,global_min_cost,1135,10,10,10,0,100.0,491.0909221182235,380.83776855909656,972.4619516721543,4910.909221182234,0
0.1,14,1,6061,greedy,1135,10,10,10,0,100.0,552.9422797920402,380.2073745774866,1184.519715364771,5529.4227979204015,0
0.1,14,1,6061,global_min_cost,1135,10,10,10,0,100.0,455.86398715115746,298.0888720542914,972.4619516721543,4558.639871511575,0
0.1,16,1,6061,greedy,1135,10,10,10,0,100.0,320.86013393848947,285.22007787630133,584.5954103194933,3208.6013393848943,0
0.1,16,1,6061,global_min_cost,1135,10,10,10,0,100.0,301.39707500711603,272.3900593252066,468.5539030730384,3013.97075007116,0
0.1,20,1,6061,greedy,1135,10,10,10,0,100.0,237.12232619527575,232.23360138862938,397.7703240045584,2371.2232619527576,0
0.1,20,1,6061,global_min_cost,1135,10,10,10,0,100.0,236.06306339785593,232.23360138862938,416.02767610259474,2360.6306339785588,0
0.1,24,1,6061,greedy,1135,10,10,10,0,100.0,187.5495369415228,192.7384369360946,319.01529702854504,1875.495369415228,0
0.1,24,1,6061,global_min_cost,1135,10,10,10,0,100.0,186.49027414410298,192.7384369360946,321.0438917061046,1864.9027414410298,0
0.1,32,1,6061,greedy,1135,10,10,10,0,100.0,142.5899201943837,114.55161528072699,246.51953523230142,1425.899201943837,0
0.1,32,1,6061,global_min_cost,1135,10,10,10,0,100.0,142.5899201943837,114.55161528072699,246.51953523230142,1425.8992019438367,0
0.12,8,1,6061,greedy,1346,10,10,7,3,70.0,758.5375517042493,330.8799178796985,1535.682668104383,5309.762861929744,12
0.12,8,1,6061,global_min_cost,1346,10,10,7,3,70.0,365.3559236218819,330.8799178796985,530.3519439219738,2557.491465353173,12
0.12,10,1,6061,greedy,1346,10,10,9,1,90.0,748.3639863613695,822.938721234147,1544.477206919846,6735.275877252326,5
0.12,10,1,6061,global_min_cost,1346,10,10,9,1,90.0,537.630127831212,450.756646512807,1151.9972232230577,4838.671150480908,4
0.12,12,1,6061,greedy,1346,10,10,10,0,100.0,750.8742380665259,868.3236098228423,1402.3965432064158,7508.742380665258,0
0.12,12,1,6061,global_min_cost,1346,10,10,10,0,100.0,512.02043415685,380.83776855909656,1106.8523166600348,5120.204341568499,0
0.12,14,1,6061,greedy,1346,10,10,10,0,100.0,681.9981173895461,579.0115022534457,1394.3214139950949,6819.981173895461,0
0.12,14,1,6061,global_min_cost,1346,10,10,10,0,100.0,468.61284128918555,380.83776855909656,745.8234284846193,4686.128412891855,0
0.12,16,1,6061,greedy,1346,10,10,10,0,100.0,324.6081886826107,285.22007787630133,585.6841248428397,3246.081886826107,0
0.12,16,1,6061,global_min_cost,1346,10,10,10,0,100.0,303.6760699449736,278.3414613977627,469.64261759638475,3036.7606994497364,0
